質問,回答
"石井鮎美<U94dff14de3998f743ebd68137d2f02e3>: ・登録氏名:清田鮎美
 ・登録電話番号:09053110477
 ・メールアドレス:kfekfe.66@gmail.com","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご返信くださいましてありがとうございます。
  
 今回のご依頼を受け、髪にドラマを。公式オンラインショップの退会手続きが完了しましたことをご報告申し上げます。
 これまでご利用いただき、誠にありがとうございました。
  
 またご縁がございましたら、ぜひよろしくお願いいたします。"
中村 晴香<Uab3452affe560e39ff4bccdd32158d32>: 正しい使い方,
"まりん<Ue68f65e1e6c7687e2bd65a6dac81a223>: ・登録氏名 油井冴華
 ・登録電話番号 09093964246
 ・登録メールアドレス saechi.gcp@gmail.com
 ・ご注文番号 9f1c8dfaf4
 

 正しいご住所
 

 愛知県名古屋市中区栄4-7-8-1206","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): 教えていただいた情報でご登録・ご注文状況を確認いたしました。
  
 ご注文（注文番号9f1c8dfaf4）につきまして 、宛所が不明として弊社へ返送されてきておりました。
 あいにく再送は承っておりません。
  
 そのためご注文はキャンセル手続きならびに、クレジットカード決済のキャンセル手続きをさせていただきました。
 ※カードの締め日によってはいったんお引き落としとなり翌月か翌々月にカード会社様よりご返金となる場合がございます。あらかじめご了承くださいませ。
  
 改めてご希望をいただけます場合には、マイページへログイン後、ご住所をご確認のうえ、新しくご注文をいただけますと幸いです。
 https://shop.kaminidoramawo.jp/
  
 ご注文は発送が完了いたしましたら、メールにてその旨をご連絡させていただきます。
 お受け取りのほどなにとぞよろしくお願いいたします。"
"Ⓨ<Ubb665aaae6133cac4361eeeecf7d5d7e>: 入力しました。
 10%引かれた金額ではなく、定期購入したら割引されますよっていう金額になってしまいます。","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご注文状況をお調べいたします。
 恐れ入りますが、ご登録の以下の情報をお教えくださいませ。
  
 ・登録氏名
 ・登録電話番号
 ・登録メールアドレス
 

 また、お持ちのクーポンコードを教えてくださいませ。
 どうぞよろしくお願いいたします。"
sayaka❦<U54c7fefde60ab5750c6247d042741de0>: 注文について,
"Ⓨ<Ubb665aaae6133cac4361eeeecf7d5d7e>: 則武由佳
 070-2228-7980
 yukasaku5473@gmail.com","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご返信くださいましてありがとうございます。
 ご登録を確認させていただきました。
 

 お試しセットに同封させていただきました限定クーポンを、これから新しくお申込みいただく定期で、かつ、対象の４商品となります。
  
 １）【定期】【セット】つるりんちょ。シャンプー＆トリートメント（ボトル）
 ２）【定期】【セット】つるりんちょ。シャンプー＆トリートメント1000ml（業務用）
 ３）【定期】【セット】つるりんちょ。シャンプー＆トリートメントSARARITO（ボトル）
 ４）【定期】【セット】つるりんちょ。シャンプー＆トリートメントSARARITO（業務用）
 

 対象商品をカートに追加後、ご注文の手続きを進めていただく途中で、＜クーポン利用＞とコードを入力する項目が出てまいりますので、そちらに上記のコードを入力してください。
  次のページ「ご注文内容のご確認」にて、「割引」適用後の金額をご確認いただけます。
  
 恐れ入りますが、今一度、お手続きいただけますでしょうか。
 なにとぞよろしくお願いいたします。"
りほ<U5f2811cf8e9c9d876f38942f1e6cfcfb>: 注文について,
"宗近佑有子: 注文番号：【425398-20250524-0475443245】
 カテゴリー：注文情報の追加連絡について
 内容：届け先の人物名を日本郵便へ変更していただくようにご連絡対応をお願いしたいです。","【公式】髪にドラマを。楽天市場店: このたびは、お問い合わせをいただき、誠にありがとうございます。
 

 変更をご希望のお届け先様名をお教えくださいませ。
 何卒よろしくお願い申し上げます。"
YOSHIMI✴︎M<Ua6378a426ceaaaccc017125d4d12c252>: 注文について,
"あきちゃん<Ufb356c3e78e95787b0e931fc1b228d54>: お返事ありがとうございました。
 お陰様で少しずつですが、良くなってきているような！！気がします！！！
 髪を乾かすときは何もつけなくていいでしょうか。
 ドライヤーの熱のせいで髪が痛むのではと、いるかのせなかのミルクをちょっとだけつけてみたり、何もつけなかったり、気分でやっております。
 オイルも持ってますがオイルはベタベタするかな？？と思ってつけてません。","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご連絡いただきありがとうございます。
 べたつきが少しずつ改善されてきているとのこと、嬉しく拝見しました。
 現在は後頭部のみとのことですね😊
 

 根気強くお手入れを続けてくださり、本当にありがとうございます。
 

 ちなみに、現在お使いのオイルは「いるかのせなか。オイル」でお間違いないでしょうか？"
きよみ<Uebd6ec72d4ee30efd7bad682433f0dcf>: 注文について,
さなえ<U7779db152966c0b89bb6363b5bfeda46>: 注文について,
りほ<U5f2811cf8e9c9d876f38942f1e6cfcfb>: 注文について,
nami<Uf675f80ae9fe98c854ad55a52f5548a7>: 正しい使い方,
しまか<U8282ba5623b393a632370e16d7050790>: 注文について,
martha<U8b3f4de7b0655a6dda12d6eccffa0521>: 注文について,
もえ<Uab0c36a17d5ee16f49a5fe3ef70d3c24>: 注文について,
maricoco<U34bcb485f349cac0d020c190b1a56be8>: 注文について,
Ⓨ<Ubb665aaae6133cac4361eeeecf7d5d7e>: 注文について,
"巧<Uf73602de04d0579f069a91bf5fb71464>: こんにちは
 先日楽天にてつるりんちょブースターを購入しクチコミを記載したのですが500円クーポンはいただけないでしょうか？
 シャンプーが残り残量が少なく購入したいと考えています！","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせをいただき、誠にありがとうございます。
 レビューを投稿くださったのですね。
 ありがとうございます。
 

 楽天の該当のご注文番号をお知らせいただけますでしょうか。
 何卒よろしくお願いいたします。"
"YUMI<Ud9c325db9b51dde9c03cca49206abb4c>: 熊本のサロンで
 取り扱い、サロンメニューがある店舗ありますか？","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせくださいましてありがとうございます。
 髪にドラマを。の取り扱い店、サロンメニューがある店舗でございますね。
 

 ご興味を持っていただきまして、誠にありがとうございます。
 

 通いやすい地域はどのあたりになりますか？"
maricoco<U34bcb485f349cac0d020c190b1a56be8>: 注文について,
Ⓨ<Ubb665aaae6133cac4361eeeecf7d5d7e>: Amazon Payだからとかありますか？,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): どのような画面をご覧いただいているかを確認させていただきたく存じます。
 スクリーンショットをいただくことは可能でしょうか？"
まつむら ことみ<U8a5233ebd1382c73357d9c02473dbd5e>: 注文について,
"巧<Uf73602de04d0579f069a91bf5fb71464>: 迷惑メールに入って居ました
 お手数おかけして申し訳ございません
 ありがとうございます！","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): よかったです。
 ご注文を心よりお待ちしております。"
きらり<Ubbd6a9ba4a7f667abcd760dbb5c51614>: 注文について,
きらり<Ubbd6a9ba4a7f667abcd760dbb5c51614>: 注文について,
Ⓨ<Ubb665aaae6133cac4361eeeecf7d5d7e>: できたみたいでよかったです！ありがとうございます！注文させていただきます！,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): 何度もお手続きをいただきましてありがとうございました。
 ご注文を心よりお待ちしております。"
"YUMI<Ud9c325db9b51dde9c03cca49206abb4c>: 通いやすい順に書いてます
 

 【熊本県】
 玉名市、荒尾市
 【福岡県】
 大牟田市
 

 【熊本県】
 熊本市西区、中央区、東区","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご返信くださいましてありがとうございます。
 

 【熊本県】
 中央区となりますが、おすすめのサロン様をご紹介させていただきます。
 ぜひ、ご検討くださいませ😊
 

 ◆THREE hair【スリーヘアー】
 熊本県熊本市中央区帯山６丁目4-40
 https://beauty.hotpepper.jp/slnH000652685/stylist/
 おすすめスタイリスト：國本さん、大島さん
 

 ◆Ｏｒｇａｎ produced by ATENA 【オルガン プロデュース バイ アテナ】
 熊本県熊本市中央区上通町１－２６ aune KUMAMOTO ６Ｆ
 https://beauty.hotpepper.jp/slnH000111841/stylist/T000321999/#stylistHeadline
 おすすめスタイリスト：冨田さん"
